tipo;uri;parent_uri;fecha;usuario;id_anonimo;contenido;likes;reposts;replies;media_path;idioma_ia;relevancia_ia
POST;at://did:plc:elrqasuifye7hcenwoq6xg66/app.bsky.feed.post/3mk74t3hook2a;at://did:plc:elrqasuifye7hcenwoq6xg66/app.bsky.feed.post/3mk74t3hook2a;2026-04-23T23:06:17.018Z;rebarmcentire.bsky.social;7285F2D053C85956;I almost never know what Rosalia is singing about but it doesn't matter because it's beautiful and she's beautiful and I love her;13;1;2;;Inglés;SI
COMENTARIO;at://did:plc:bq5p7atv3aqqhbirwvefxgow/app.bsky.feed.post/3mk74uaeujs25;at://did:plc:elrqasuifye7hcenwoq6xg66/app.bsky.feed.post/3mk74t3hook2a;2026-04-23T23:06:55.723Z;pyramidmaster.bsky.social;A03EDFD059311B40;her new album opened another gender door in me;2;0;1;;Inglés;SI
POST;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk73qd4whc24;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk73qd4whc24;2026-04-23T22:46:50.649Z;huisvrouwblues.bsky.social;B383392551EDC4A6;Nog een spektakelstukje dan #Rosalía #dag2 #Amsterdam #ZiggoDome;3;0;1;;Nederlands;SI
COMENTARIO;at://did:plc:4jsu7k7ggq33le3q6okgxgjq/app.bsky.feed.post/3mk742mk5s22b;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk73qd4whc24;2026-04-23T22:52:36.065Z;meisbaer.bsky.social;63F71A55F94D6377;Die 'wierrook' slinger boven het publiek was erg gaaf!;1;0;1;;Nederlands;SI
POST;at://did:plc:rdhrz4igqejlfzfns4hadtlg/app.bsky.feed.post/3mk73dfocl22w;at://did:plc:rdhrz4igqejlfzfns4hadtlg/app.bsky.feed.post/3mk73dfocl22w;2026-04-23T22:39:37.109Z;wilcoboom.bsky.social;7E571C42C4415610;ROSALIA Ziggo Dome 230426;2;0;1;;Español;SI
COMENTARIO;at://did:plc:kimbccjlimbdxibz5s7nkcyn/app.bsky.feed.post/3mk73nb63ys2s;at://did:plc:rdhrz4igqejlfzfns4hadtlg/app.bsky.feed.post/3mk73dfocl22w;2026-04-23T22:45:07.928Z;davidmichels.bsky.social;2221EACF15896425;roger target acquired;0;0;0;;Español;SI
POST;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk73ar3yz224;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk73ar3yz224;2026-04-23T22:38:08.428Z;huisvrouwblues.bsky.social;B383392551EDC4A6;Springen #Rosalía #Amsterdam #dag2 #ZiggoDome;3;0;0;;Español;SI
POST;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk72ijgykc24;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk72ijgykc24;2026-04-23T22:24:35.093Z;huisvrouwblues.bsky.social;B383392551EDC4A6;Wanneer je er geen genoeg van krijgt #Rosalía #Amsterdam #dag2 #ZiggoDome;4;0;0;;Nederlands;SI
POST;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk72b3brnc24;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk72b3brnc24;2026-04-23T22:20:25.361Z;huisvrouwblues.bsky.social;B383392551EDC4A6;Hoogtepunt van de avond: het moment dat Rosalía letterlijk in het middelpunt van de belangstelling staat #Amsterdam #dag2 # ZiggoDome;3;0;0;;Nederlands;SI
POST;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk6zwr7kgk24;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk6zwr7kgk24;2026-04-23T22:14:39.259Z;huisvrouwblues.bsky.social;B383392551EDC4A6;Welke artiest kan hier nog overheen? #Rosalía #dag2 #ZiggoDome;2;0;0;;Nederlands;SI
POST;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk6ztnexuk24;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk6ztnexuk24;2026-04-23T22:12:54.579Z;huisvrouwblues.bsky.social;B383392551EDC4A6;Hoe moet ik deze Rosalía-verslaving nu afbouwen? #FOMO #Amsterdam #dag2 #ZiggoDome;2;0;0;;Nederlands;SI
POST;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk6yzedobs24;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk6yzedobs24;2026-04-23T21:58:12.680Z;huisvrouwblues.bsky.social;B383392551EDC4A6;Ontroerend eind! Rosalía #Amsterdam #dag2 #ZiggoDome;3;0;0;;Nederlands;SI
POST;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk6yun6xuk24;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk6yun6xuk24;2026-04-23T21:55:34.190Z;huisvrouwblues.bsky.social;B383392551EDC4A6;Zo’n optreden wil je toch elke avond! Rosalía #Amsterdam #dag2 #ZiggoDome;2;0;0;;Nederlands;SI
POST;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk6ymrgm5s24;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk6ymrgm5s24;2026-04-23T21:51:10.201Z;huisvrouwblues.bsky.social;B383392551EDC4A6;Heerlijk weer Rosalía #Amsterdam #dag2 #ZiggoDome;3;0;0;;Nederlands;SI
POST;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk6yhxwpik24;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk6yhxwpik24;2026-04-23T21:48:29.246Z;huisvrouwblues.bsky.social;B383392551EDC4A6;Toch nog wel aardige foto’s kunnen maken, ondanks het mindere zicht #Rosalía #dag2 #ZiggoDome;1;0;0;;Nederlands;SI
POST;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk6ydelsk224;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk6ydelsk224;2026-04-23T21:45:54.748Z;huisvrouwblues.bsky.social;B383392551EDC4A6;Einde van deze bijzondere Rosalía-week. Wat een reis! #Amsterdam #2edag #ZiggoDome;4;0;0;;Nederlands;SI
POST;at://did:plc:wxogqgxkbsceibsmxdsgttsk/app.bsky.feed.post/3mk6xwenpos2p;at://did:plc:wxogqgxkbsceibsmxdsgttsk/app.bsky.feed.post/3mk6xwenpos2p;2026-04-23T21:38:38.603Z;liliante.bsky.social;EB18E450DE1BA7C4;Ik zag vanavond Rosalía in de Ziggodome, en het was prachtig, op alle vlakken.;3;0;0;;Nederlands;SI
POST;at://did:plc:whlfoao3kwnm4iqvnjdjfzde/app.bsky.feed.post/3mk6xi7mpfc2w;at://did:plc:whlfoao3kwnm4iqvnjdjfzde/app.bsky.feed.post/3mk6xi7mpfc2w;2026-04-23T21:30:43.566Z;rockandvulcan.bsky.social;1A72F1C14482008B;in m'n eentje naar rosalía gegaan en gejankt bij focu 'ranni. wat een avond.;21;0;3;;Netherlands;SI
COMENTARIO;at://did:plc:u56irhv63supnbcfmr2ljrgd/app.bsky.feed.post/3mk75ruawj22z;at://did:plc:whlfoao3kwnm4iqvnjdjfzde/app.bsky.feed.post/3mk6xi7mpfc2w;2026-04-23T23:23:29.645Z;joyce-013.bsky.social;E21AF2F7F61803E1;Jaloers!;0;0;0;;Netherlands;SI
COMENTARIO;at://did:plc:t45gscrq57biroy5onspmp5i/app.bsky.feed.post/3mk6ydum25c2d;at://did:plc:whlfoao3kwnm4iqvnjdjfzde/app.bsky.feed.post/3mk6xi7mpfc2w;2026-04-23T21:46:11.538Z;huibkoeleman.bsky.social;A59465E1F049FC60;Ze was fantastisch!;0;0;0;;Netherlands;SI
COMENTARIO;at://did:plc:hyqnfc7a7mwnnosbnzatjpxu/app.bsky.feed.post/3mk6xtr5tos26;at://did:plc:whlfoao3kwnm4iqvnjdjfzde/app.bsky.feed.post/3mk6xi7mpfc2w;2026-04-23T21:37:11.056Z;kamiklazi.bsky.social;C68379F1E0F22129;Het was fenomenaal!!;0;0;0;;Netherlands;SI
POST;at://did:plc:afc3g4yovrv74mlnvafroonx/app.bsky.feed.post/3mk6x6on4qs2z;at://did:plc:afc3g4yovrv74mlnvafroonx/app.bsky.feed.post/3mk6x6on4qs2z;2026-04-23T21:25:23.767Z;loize.bsky.social;DAC438122CF806F0;Nossa gente impactada pelo show da Rosalía;1;0;0;;Portugués;SI
POST;at://did:plc:hyqnfc7a7mwnnosbnzatjpxu/app.bsky.feed.post/3mk6wweewbc26;at://did:plc:hyqnfc7a7mwnnosbnzatjpxu/app.bsky.feed.post/3mk6wweewbc26;2026-04-23T21:20:44.566Z;kamiklazi.bsky.social;C68379F1E0F22129;Rosalía is alles! Pop, opera, ballads, techno, Spaans. Pure kunst. Soms letterlijk. Echt nog nket vaak zoiets indrukwekkends meegemaakt!;7;1;0;;Inglés;SI
POST;at://did:plc:uvcalxr5wnk7mcft64lniill/app.bsky.feed.post/3mk6wfnusac2x;at://did:plc:uvcalxr5wnk7mcft64lniill/app.bsky.feed.post/3mk6wfnusac2x;2026-04-23T21:11:24.109Z;eevaliukku.bsky.social;2694E8BF5CD0EE9B;Diepe buiging voor Rosalía. Ze creëerde vanavond een heilige ruimte voor de kunsten: een ode aan beeldende kunst, theater, opera, klassiek, techno. Ik heb weer, voor even, hoop voor de mensheid. ❤️;16;0;2;;Netherlands;SI
COMENTARIO;at://did:plc:uvcalxr5wnk7mcft64lniill/app.bsky.feed.post/3mk6wrpj6ss2x;at://did:plc:uvcalxr5wnk7mcft64lniill/app.bsky.feed.post/3mk6wfnusac2x;2026-04-23T21:18:08.480Z;eevaliukku.bsky.social;2694E8BF5CD0EE9B;De gabberversie van Berghain 😍 SEINE WUT IST MEINE WUT SEINE LIEBE IST MEINE LIEBE 💥;3;0;0;;Netherlands;SI
